WikidataID,itemLabel,en_description,sitelinks
Q389285,Itjtawy,City in Ancient Egypt,21
Q3110,San Salvador,Capital of El Salvador,136
Q70,Bern,de facto capital of Switzerland,191
Q5465,Cape Town,"city in the Western Cape, South Africa",187
Q682728,Koumbi Saleh,commune of Mauritania,19
Q2844,Brasília,capital city of Brazil,205
Q37701,Bloemfontein,judicial capital of South Africa,129
Q179570,Kairouan,Tunisian town,70
Q1778458,Koh Ker,capital of the Khmer Empire,17
Q2670516,Nedroma,"city in Tlemcen, Algeria",23
Q149016,Baturyn,city of Ukraine,40
Q28409755,Chanyu Ting,capital of Xiongnu,1
Q83285,Durrës,city in Albania,97
Q1761,Dublin,capital city of Ireland,215
Q1074347,Chimgi-Tura,human settlement,8
Q900,Kazan,"city in the Republic of Tatarstan, Russia",151
Q3832,Bangui,capital city of the Central African Republic,149
Q3624,Addis Ababa,capital city of Ethiopia,179
Q641,Venice,"capital city of Veneto, Italy",207
Q2841,Bogotá,capital city of Colombia,262
Q218861,Gondar,"city, former capital of Ethiopia",60
Q1854,Ho Chi Minh City,city of Vietnam,248
Q720583,Tigranocerta,human settlement,33
Q1189121,Tokyo Prefecture,former prefecture in Japan 1869 - 1943,12
Q36600,The Hague,"municipality in the Netherlands, seat of the Dutch government",163
Q1131299,Veligrad,Capital of Great Moravia,3
Q994287,Velika Kladuša,town in Bosnia and Herzegovina,37
Q384,Skopje,capital city of North Macedonia,181
Q83061,Van,city in Turkey,86
Q1223508,Ohrid,city in North Macedonia,82
Q31917158,Jaca,"human settlement in Jaca, Huesca Province, Aragon, Spain",2
Q2654910,Yasodharapura,Ancient Khmer city-state,14
Q864827,Hlukhiv,town in Sumy Oblast in northern Ukraine,43
Q649,Moscow,capital and most populous city of Russia,320
Q5115696,Madinat Gharnāṭah,appellation of the Spanish city of Granada during the Muslim rule,2
Q656,Saint Petersburg,federal city in and former capital of Russia,248
Q31916975,Huesca,"city in Aragon, Spain",1
Q490,Milan,Italian city,205
Q1903,Catania,"city in Sicily, Italy",124
Q118958,Leuven,"capital city of Flemish Brabant, Belgium",87
Q105284,Bolgar,town in Russia,48
Q5684,Babylon,capital city of Babylonia and an archaeological site in modern-day Iraq,117
Q1348,Kolkata,"capital city of West Bengal, India",180
Q43421,Richmond,"capital city of Virginia, United States",125
Q223917,Boma,city in Democratic Republic of the Congo,53
Q472,Sofia,capital city of Bulgaria,213
Q83108,Vijaypura District,"district in Karnataka, India",33
Q3626515,Raigad Fort,"hill fort in Maharashtra, India",17
Q269,Tashkent,capital of Uzbekistan,173
Q11739,Lahore,"city and capital of the Punjab province, Pakistan",130
Q5832,Axum,Ethiopian city,78
Q1061338,Sarai Berke,"Secondary Golden Horde city, on Volga",12
Q200030,Latakia,principal port city of Syria,78
Q80021,Daugavpils,city in south-eastern Latvia,95
Q216,Vilnius,capital and largest city of Lithuania,216
Q172157,Winchester,"city in Hampshire, England",82
Q647,Rennes,"commune in Ille-et-Vilaine, France",123
Q621,Versailles,"French commune in Yvelines, Île-de-France",108
Q8818,Valencia,city in Spain,154
Q311099,Al-Suwayda,city in Syria,45
Q2586542,Nokalakevi,,17
Q80561,Antakya,district and city in Turkey,101
Q213679,Pella,capital of the ancient kingdom of Macedon,48
Q213916,Vergina,"village in Central Macedonia region, Greece",47
Q1530,Baghdad,capital city of Iraq,231
Q1093156,Cirta,"major ancient city of Numidia, now Constantine, Algeria",20
Q1085,Prague,capital city of the Czech Republic,248
Q134698,Bastia,"French commune, city and prefecture of Haute-Corse, Corsica",87
Q5836,Toledo,municipality in central Spain,123
Q182299,Chania,"town in Crete, Greece",69
Q2826842,Aghmat,rural commune in Morocco,15
Q3820,Beirut,capital of Lebanon,194
Q85,Cairo,capital city of Egypt,241
Q8356,Valladolid,city of the Province of Valladolid in Spain,125
Q3692,Riyadh,capital of Saudi Arabia,171
Q93351,Vichy,"commune in Allier, France",89
Q193342,Rostov,"human settlement in Rostovsky District, Yaroslavl Oblast, Russia",72
Q1136681,Seleucia,capital of the Seleucid Empire,35
Q5764,Bukhara,city in Bukhara Province of Uzbekistan,114
Q243322,Gujranwala,"city in Punjab, Pakistan",64
Q1741,Vienna,capital of and state in Austria,264
Q1081229,Yeha,village in Ethiopia in the province of Tigray,19
Q1461,Manila,capital city of the Philippines,187
Q192541,Ctesiphon,capital of the Iranian empire in the Parthian and Sasanian eras in present Iraq,71
Q2581527,Kalat,"city in Balochistan, Pakistan",25
Q862251,Istakhr,human settlement,30
Q12191,Nantes,"city in Loire-Atlantique, France",140
Q1770,Tallinn,capital and most populous city of Estonia,200
Q2807,Madrid,capital and largest city of Spain,280
Q213555,Corte,"French commune in Haute-Corse, Corsica",56
Q2337,Smolensk,city and administrative center of Smolensk Oblast in central Russia,122
Q511922,Danville,"independent city in Virginia, United States",37
Q704864,Tamworth,"town in Staffordshire, England",34
Q2280,Minsk,capital and largest city of Belarus,212
Q277505,Diriyah,city in Saudi Arabia,36
Q200441,Antioch,ancient city in present-day Turkey,71
Q84,London,capital and largest city of the United Kingdom,321
Q477152,Sarai,city,36
Q1353,Delhi,Indian metropolis and union territory that includes New Delhi,185
Q1899,Kyiv,capital and largest city of Ukraine,235
Q3636023,Vijayapura,city in Karnataka,50
Q2684,Vladimir,city in the center of European Russia,104
Q207294,Babruysk,city in the Mogilev Region of eastern Belarus,67
Q3922,Detmold,"city in North Rhine-Westphalia, Germany",66
Q29364,Montgomery,"city in and county seat of Montgomery County, Alabama, United States and Alabama federated state capital",132
Q15757,Suzdal,"town in Vladimir Oblast, Russia",75
Q207590,Lalibela,town,63
Q3992,Liège,"city in Wallonia, Belgium",121
Q2135463,Puhar,town,12
Q2044,Florence,"Italian city, located in Tuscany",194
Q12994,Bruges,"city in West Flanders, Belgium",110
Q239,City of Brussels,municipality and capital city of Belgium,218
Q495,Turin,city and commune in Italy,169
Q16555,Houston,"county seat of Harris County, Texas; fourth largest city in the United States by population",173
Q1638441,Piratini,municipality of Brazil,27
Q638539,Ardanuç,district of Turkey,29
Q1715,Hanover,capital city of the German federated state of Lower Saxony,162
Q289618,Al-Mansuriya,archaeological site in Tunisia,12
Q18094,Honolulu,"city in and county seat of Honolulu County, Hawaii, United States, that is also the capital city of Hawaii",174
Q849535,Doğubeyazıt,district of Turkey,43
Q385327,São Borja,municipality of Brazil,31
Q2978,Regensburg,"town in Bavaria, Germany",106
Q40898,Nancy,"city in Meurthe-et-Moselle, France",110
Q254861,Waikiki,"neighborhood of Honolulu, Hawaii, United States",38
Q1749869,Caçapava do Sul,"municipality in South, Brazil",28
Q71279,Malbork Castle,castle built in Prussia (now Poland) by the Teutonic Knights,54
Q1726,Munich,"capital city of Bavaria, Germany",216
Q704300,Free City of Frankfurt,"historical city-state, today part of Germany",23
Q8738,Meissen,"town in Saxony, Germany",78
Q799843,Bagamoyo,town,36
Q111705,Salò,Italian comune,59
Q2683,Parma,city in the northern Italian region of Emilia-Romagna,115
Q16216319,Kelmis,"town in Kelmis municipality, Belgium",3
Q25528561,Qurṭubah,"city of Al-Andalus from 711 to 1238, current Córdoba in Spain",1
Q2023266,Hithadhoo,"inhabited island in Addu Atoll, Maldives",11
Q119140,Bagé,"city and a municipality in Rio Grande do Sul, Brazil",35
Q179830,Jelgava,city in central Latvia,83
Q216258,Hilo,"census-designated place in Hawaii, United States",60
Q1960,Dar es Salaam,city in Tanzania,128
Q220,Rome,capital and largest city of Italy,313
Q157800,Zeila,human settlement,34
Q6837,Lutherstadt Wittenberg,town in Germany,80
Q16559,Austin,"capital of Texas, United States",150
Q915429,Oltu,"district in Erzurum Province, Turkey",32
Q1794,Frankfurt,"city in Hesse, Germany",198
Q3826,Muscat,capital of Oman,151
Q2865,Kassel,"city in Hesse, Germany",109
Q627970,Kailua-Kona,"census designated place in Hawaii County, Hawaii, United States",33
Q1780,Bratislava,capital city of Slovakia,208
Q2235,Veliky Novgorod,city in the northwest of Russia,114
Q172415,Kutaisi,city in Georgia,99
Q16365061,Q16365061,,4
Q16373727,Q16373727,,2
Q464050,Otjimbingwe,"human settlement in the Erongo Region, Namibia",10
Q45779,Pécs,city in Hungary,104
Q1435,Zagreb,capital city of Croatia,200
Q167715,Thiruvananthapuram,city in southern India; the capital of Kerala,90
Q16024,Geldern,"town in Kleve District, in North Rhine-Westphalia, Germany",40
Q1449,Genoa,Italian city,163
Q4120832,Königsberg,capital city in Prussia,45
Q2554855,Thrippunithura,"human settlement in Ernakulam district, Kerala, India",16
Q320704,Benin City,city in Nigeria,59
Q31487,Kraków,capital city of Lesser Poland Voivodeship in southern Poland,175
Q1815867,Padmanabhapuram,"town in Kanyakumari district, Tamil Nadu, India",18
Q158604,Bakhchysarai,town in Crimea,77
Q1012971,Lahaina,"CDP in West Maui, Maui County, Hawaii",34
Q1709,Schwerin,"capital city of Mecklenburg-Vorpommern, Germany",115
Q851276,Alegrete,"human settlement, Brazil",37
Q2288,Tver,town and administrative center of Tver region in western Russia,103
Q140631,Tainan,city in southern Taiwan,70
Q1017178,Chufut-Kale,historic fortress in Crimea,28
Q1781,Budapest,capital and largest city of Hungary,245
Q540250,Washington-on-the-Brazos,"ghost town in Washington County, Texas, United States",15
Q1897,Cagliari,capital city of the autonomous Italian island of Sardinia,119
Q3935,Windhoek,capital of the Republic of Namibia,162
Q1731,Dresden,capital city of the Free State of Saxony in Germany,169
Q1022,Stuttgart,capital city of German federated state Baden-Württemberg,171
Q64,Berlin,"federal state, capital and largest city of Germany",308
Q2222874,Zanzibar City,city in Tanzania,55
Q644008,Qarshi,city in Uzbekistan,52
Q1772602,Porto Acre,"municipality in Acre, Brazil",33
Q731039,Mbarara,city in Uganda,35
Q9676,Isle of Man,British Crown dependency,161
Q189685,Abomey,city in the Zou Department of Benin,62
Q19689,Tirana,capital city of Albania,203
Q466216,Ta'izz,city in the Yemeni Highlands,60
Q5489,Troyes,"commune in Aube, France",91
Q405120,Kavarna,town in Bulgaria,31
Q5838,Kabul,capital of Afghanistan,197
Q486195,Khiva,city in Uzbekistan,74
Q1013556,Halebidu,"town in Hassan District, Karnataka, India",26
Q702126,Maria Saal,"municipality in Klagenfurt-Land District, Carinthia, Austria",30
Q200917,Zaslaŭje,city in Belarus,34
Q212332,Kanchipuram,"human settlement in Tamil Nadu, India",55
Q158530,Castletown,town on the Isle of Man,28
Q857845,Ai-Khanoum,single entity of population,29
Q333476,Ségou,city in Mali,50
Q200797,Polotsk,historical city and administrative center of Polotsk district in the Vitebsk region of Belarus,64
Q3050,Recklinghausen,"city in Recklinghausen District, in North Rhine-Westphalia, Germany",80
Q80985,Fez,City in Morocco,108
Q36036,Lviv,capital city of Lviv Oblast in western Ukraine,145
Q203285,Provins,"commune in Seine-et-Marne, France",65
Q8684,Seoul,capital of South Korea,223
Q182159,Balkh,"capital of Balkh District, Afghanistan",80
Q3761,Accra,capital city of Ghana,177
Q1764282,Balasagun,ancient Sogdian city in modern-day Kyrgyzstan,30
Q3125547,Hadiya Zone,place in Hadiya,10
Q213183,Zalishchyky,city of Ukraine,28
Q156743,Ternopil,"city of Ternopil Oblast, Ukraine",89
Q1017,Aachen,"city in North Rhine-Westphalia, Germany",136
Q3894,Kampala,capital of Uganda,162
Q51432,Gniezno,city in central-western Poland,81
Q1647,Rijeka,city in Croatia,103
Q1504476,Ying,ancient Chinese city,9
Q1193412,Taungoo,city in the Bago Region of Myanmar,25
Q391215,Volubilis,archaeological site in Morocco,47
Q1019486,Harper,"town in Maryland, Liberia",24
Q1963,Khartoum,capital city of Sudan,161
Q45604,Kandahar,"capital of Kandahar Province, Afghanistan",106
Q83387,Diyarbakır,city in Turkey,91
Q156726,Ivano-Frankivsk,city in Western Ukraine,84
Q157824,Piombino,Italian comune,65
Q28441,São Luís,city of the Brazilian state of Maranhão,74
Q10825974,Thăng Long,capital of Đại Việt,2
Q6829,Speyer,"town in Rhineland-Palatinate, Germany",84
Q1247214,Soba,human settlement,12
Q584387,Faras,archaeological site in Sudan (Nubia),16
Q1676142,Izirtu,,4
Q502425,Horn,town in the Dutch province of Limburg,12
Q202337,Nauplion,"city of Peloponnesus, Greece",64
Q1023254,Vryheid,town,24
Q1799,Wrocław,capital city of the Lower Silesian Voivodeship in western Poland,147
Q48472,Konye-Urgench,city,56
Q158459,Żagań,city and urban gmina of Poland,64
Q2627464,Almaliq,,14
Q1110037,Agaro,town and woreda in southwestern Ethiopia,11
Q866634,Bissandugu,human settlement,7
Q170115,Srinagar,"city in Jammu and Kashmir, India",85
Q800122,Bago,"capital city of Bago Region, Burma",47
Q42462,York,city in the United Kingdom,117
Q2199759,Inwa,human settlement in Myanmar,28
Q80053,Tabriz,"city in East Azerbaijan Province, Iran",118
Q5221425,Danyang,"capital of Chu, ancient Chinese state",3
Q154748,Verdun,"commune in Meuse, France",76
Q874317,Kankan,city in Guinea,40
Q244236,Qabala,city of Azerbaijan,46
Q1031919,Kangaba,town and commune and seat of the Cercle of Kangaba in the Koulikoro Region of south-western Mali,13
Q5780,Meroë,ancient city along the eastern bank of the Nile River in Northern Sudan,58
Q393311,Žabljak Crnojevića,abandoned medieval fortified town in Montenegro,9
Q5715,Memphis,"ancient capital of Aneb-Hetch, Egypt",82
Q187136,Luoyang,"prefecture-level city in Henan, China",77
Q157035,Bückeburg,town in Lower Saxony (Germany),42
Q2214,Pskov,city and administrative center of Pskov Oblast in northwestern Russia,106
Q29303,Canterbury,"cathedral city the City of Canterbury, Kent, England",93
Q223308,New Amsterdam,17th-century Dutch colonial settlement that became New York City,39
Q22092,Dabo,"commune in Moselle, France",37
Q956,Beijing,capital of China,277
Q1636939,"Pratapgarh, Rajasthan",town,19
Q2486263,Bolghar,heritage site in Russia,40
Q230025,Pasargadae,"ancient city and archaeological site in Fars Province, Iran",60
Q739037,Nicaea,"ancient Greek city of Bithynia, modern Iznik",40
Q28516,Tarnobrzeg,City with powiat rights of Poland,85
Q1489,Mexico City,capital city of Mexico,230
Q1718,Düsseldorf,capital city of the German federated state of North Rhine-Westphalia,161
Q1724,Saarbrücken,capital of the German state of Saarland,124
Q2471,Sanaa,capital city of Yemen,151
Q223517,Ahmednagar,"city in Ahmednagar District in the state of Maharashtra, India",58
Q105076255,Saigon,capital of South Vietnam from 1956 to 1975 including the cities of Saigon and Cholon,0
Q190165,Luang Prabang,city located in north central Laos,77
Q131638,Shkodër,city in northwestern Albania,88
Q22740,Bouxwiller,"commune in Bas-Rhin, France",45
Q2603563,Bilär,medieval city and capital of Volga Bulgaria,19
Q173474,Veliko Tarnovo,city in north central Bulgaria,194
Q15699,León,"city in Castile and León, Spain",93
Q8851,Málaga,"municipality, capital of the Province of Málaga, in the Autonomous Community of Andalusia, Spain",134
Q188673,Târgoviște,"city in Dâmbovița County, Romania",63
Q200049,Ajmer,"city in Rajasthan, India",75
Q129072,Persepolis,ceremonial capital of the Achaemenid Empire,99
Q189960,Westminster,"area of central London, within the City of Westminster",58
Q17151,Thessaloniki,"city in Greece, Central Macedonia",135
Q1099126,Shuqrah,"village in Abyan Governorate, Yemen",10
Q134287,Tarsus,city in Turkey and district of Mersin Province,79
Q140131,Zafar,human settlement,16
Q40249,Antalya Province,province on the Mediterranean coast of south-west Turkey,91
Q15679,Badajoz,"city in Extremadura, Spain",88
Q196384,Solikamsk,"town in Perm Krai, Russia",52
Q197934,Cherdyn,town in Russia,45
Q279,Modena,Italian city and municipality,108
Q193478,Buda,"western part of Budapest, Hungary, former independent city",53
Q1850,Phnom Penh,capital of Cambodia,163
Q365,Cologne,"city in North Rhine-Westphalia, Germany",176
Q23311,City of London,"city, ceremonial county and local government district that contains the historic center and the primary central business district (CBD) of London",86
Q168954,Tripoli,city in northern Lebanon,86
Q156090,Maimbung,municipality of the Philippines in the province of Sulu,22
Q842869,Barda,city in Azerbaijan,49
Q10086,Mysore,"city in the state of Karnataka, India",86
Q21568,Lichtenberg,"commune in Bas-Rhin, France",39
Q9580,Burgos,"municipality in Castile and Leon, Spain",91
Q1000495,Rewa,city in the state of Madhya Pradesh in India,38
Q1149666,Tell el Fakhariya,archaeological site in Syria,14
Q4206513,Kabalaka,historic human settlement in Azerbaijan,9
Q2746,Ryazan,city in the center of European Russia,96
Q546,Trieste,city and seaport in northeastern Italy,124
Q3445596,Obod,fortification in Montenegro,5
Q40816,Benghazi,second largest city in Libya,96
Q173338,Cetinje,city in Montenegro,79
Q73061,Buren,municipality in the Netherlands,40
Q173731,Ghazni,city in Afghanistan,79
Q45301,Trabzon,city in Turkey,109
Q37112,Kalaburagi,"city in Karnataka, India",48
Q180773,Susa,ancient city in Iran,69
Q280123,Qishn,human settlement,16
Q61944,Semey,city,70
Q399139,Biograd na Moru,town,38
Q4262427,Kuin Utara,"village in Banjarmasin, South Kalimantan Province, Indonesia",4
Q25475,Batumi,second largest city of Georgia,109
Q866021,Yining City,county-level city,41
Q242898,Jaisalmer,"city in Rajasthan, India",61
Q5239,Vladikavkaz,city in the south of Russia,98
Q815082,Bela,"town in Balochistan, Pakistan",10
Q131416,Derbent,"city in Dagestan, Russia",91
Q132931,Buynaksk,"town in the Republic of Dagestan, Russia",56
Q220445,Kuching,"state capital of Sarawak, Malaysia",64
Q18287233,Rome,capital city of ancient Rome,2
Q4080366,Bayat Castle,,4
Q1020805,Sabya governorate,governorate in Saudi Arabia,11
Q2722762,Alwar,"city in Alwar district, Rajasthan, India",53
Q190948,Abha,capital of 'Asir Region in Saudi Arabia,56
Q2996307,Khudat,human settlement in Azerbaijan,23
Q8810,Granada,"municipality and capital of the province of Granada, Spain",130
Q703487,Hoym,human settlement in Germany,22
Q3138,Trier,"town in Rhineland-Palatinate, Germany",119
Q170521,Kashgar City,"city in Kashgar Prefecture, Xinjiang, China",88
Q104725,Płock,city with powiat rights of Poland,69
Q1287698,Tondo,"district of Manila, Philippines",15
Q987,New Delhi,capital city of India,201
Q19566,Simferopol,city in Crimea,111
Q3519,Bari,"Italian city, capital of the Apulia region",136
Q781354,Kapurthala,"Kapurthala is a city in Punjab state of India, It is the administrative headquarters of Kapurthala District",40
Q1211183,Xigazê,"prefecture-level city in Tibet Autonomous Region, China",44
Q158903,Shusha,city in Azerbaijan,64
Q157034,Kruševo,town in North Macedonia,45
Q864802,Long Biên,Urban District of Hanoi,9
Q204434,Bihać,city in Bosnia and Herzegovina,63
Q4257150,Pemakuan,"village in Banjar, South Kalimantan Province, Indonesia",3
Q2065395,Shahbulag Castle,castle in Azerbaijan,11
Q215315,Kernavė,medieval capital of the Grand Duchy of Lithuania,45
Q208514,Knin,town in the Šibenik-Knin county of Croatia,49
Q1287117,Jaora,city,18
Q2006438,Temsamane,"Rural commune in the Driouch Province, Morocco",13
Q391316,Porto Torres,Italian comune,67
Q40811,Sukhumi,"capital of Abkhazia, considered part of Georgia by most countries",120
Q3026354,Diarra,town in Mali,8
Q647982,Quba,city in Azerbaijan,46
Q330531,Kota,"city on the Chambal River in Rajasthan, northern India",62
Q167295,Mederdra,commune of Mauritania,13
Q5818,Córdoba,"municipality in Andalusia, southern Spain",129
Q3646,Krasnodar,capital of Krasnodar region (Krai) in Southern Russia,123
Q552301,Sausenburg Castle,castle,9
Q209128,Ennis,"town in County Clare, Ireland",42
Q131290,Ganja,city in Azerbaijan,91
Q798382,Bhuj,city in Gujarat,39
Q615006,Ho,"Volta regional capital, Ghana",35
Q228811,Lankaran,city in Azerbaijan,72
Q1848222,Wroxeter,village in the United Kingdom,13
Q876176,Selçuk,"town and district in İzmir Province, Turkey",44
Q10126,Serang,"city and capital of Banten, Indonesia and former capital of the Banten Sultanate",55
Q173690,Gjirokastër,town in Albania,73
Q965036,Arochukwu,local government area of Nigeria,13
Q727,Amsterdam,capital and most populous city of the Netherlands,255
Q994114,Yola,city,32
Q1646181,Worcester,"city and the county town of Worcestershire, England",77
Q2594448,Shravasti,"archaeological site in Uttar  Pradesh, India",30
Q586,Bonn,city in and former capital of Germany,148
Q3792,Lomé,capital of Togo,145
Q2751,Siena,"city in Tuscany, Italy and capital of the province of Siena",121
Q3799,Porto-Novo,capital of Benin,149
Q500189,M'banza-Kongo,capital of Angola's northwestern Zaire Province,50
Q193250,Bulawayo,City in Zimbabwe,72
Q26418,Hakodate,"city in Hokkaido, Japan",72
Q37806,Port Vila,capital and largest city of Vanuatu,122
Q294783,Öhringen,city in Germany,39
Q182059,Kumasi,second largest city of Ghana,79
Q487786,Orihuela,municipality of Spain,54
Q1533048,Timna,human settlement,16
Q530644,Naxos (city),"town of Cyclades, Greece",26
Q334577,Quetzaltenango,"capital of Quetzaltenango Departmentsi, Guatemala",58
Q16666,Nanjing,capital of Jiangsu province in Eastern China,131
Q10939227,Kamakura,"historic center of KamakuraCity, Kanagawa Prefecture, Japan",2
Q504406,Fort Nassau,"fort on the Dutch Gold Coast, Ghana",9
Q3572,Tunis,capital of Tunisia,170
Q1908062,Matankari,rural commune in Niger,8
Q3777,Ouagadougou,capital of Burkina Faso,155
Q3233968,Linguère,departmental capital in Senegal,15
Q236609,Tende,"commune in Alpes-Maritimes, France",49
Q841380,Sławków,city and urban gmina of Poland,34
Q1013421,Ulundi,"town in the Zululand District Municipality, and at one time the capital of Zululand in South Africa",24
Q1486,Buenos Aires,capital of Argentina,255
Q2220449,Birgi,Town in Turkey and tentative UNESCO World Heritage Site,13
Q33959,Nice,"city in Alpes-Maritimes, France",163
Q11443,Kediri,"city in East Java, Indonesia",35
Q42097,Gyeongju,"city in North Gyeongsang Province, South Korea",52
Q803,Utrecht,municipality in the Netherlands,128
Q66616,Indore,"city in Madhya Pradesh, India",91
Q170967,Denizli,city in Turkey,83
Q3919,Gaborone,capital of Botswana,151
Q393836,Tongzhou District,"district of Beijing, China",29
Q499609,Borgloon,"city in Limburg, Belgium",35
Q211055,Mahikeng,"city in North West, South Africa",68
Q1748,Copenhagen,capital city of Denmark,226
Q527748,Koror,city and former capital of Palau,46
Q59975,Bejaïa,municipality of Algeria,58
Q12812,Tortosa,"capital of the comarca of Baix Ebre, in Catalonia, Spain",60
Q3869,Marburg,"seat of Landkreis Marburg-Biedenkopf and city in Hesse, Germany",81
Q16078002,Tainan Prefecture,prefecture of Taiwan under Qing dynasty,3
Q489806,Melk,"municipality in Melk District, Lower Austria, Austria",53
Q3808,Yaoundé,capital of Cameroon,149
Q83324,Sibiu,"city in Sibiu County, Romania",101
Q695365,Erciş,"district in Van Province, Turkey",39
Q1211214,Lamphun,"town in Lamphun province, Thailand",22
Q646725,Dénia,municipality of Spain,61
Q652838,Curtea de Argeș,"city in Argeș County, Romania",43
Q41970,Pyatigorsk,"town in Stavropol Krai in North Caucasus, Russia",72
Q636188,Ray,"city in Tehran Province, Iran",47
Q1226112,Isca Dumnoniorum,human settlement in United Kingdom,10
Q1087187,Buren,"town in the municipality of the same name in Gelderland, the Netherlands",5
Q3854,Bujumbura,former capital of Burundi,145
Q3889,Maputo,capital of Mozambique,151
Q58650,Zhangjiakou,"prefecture-level city in Hebei, China",50
Q33544,Volodymyr,"city located in Volyn Oblast, in north-western Ukraine",50
Q906661,Panticapaeum,ancient Greek city in Crimea,23
Q14938,Bernburg,"town in Saxony-Anhalt, Germany",49
Q1019166,Dhiban,town in Jordan,19
Q109368,South Hamgyong Province,province of North Korea,51
Q13765,Puigcerdà,"municipality in the province of Girona, Catalonia, Spain",42
Q3183029,Kartasura,"district in Sukoharjo Regency, Jawa Tengah Province, Indonesia",10
Q743282,Napata,city,41
Q47837,Laayoune,"capital of Laâyoune-Sakia El Hamra Region, Western Sahara",101
Q3838,Kinshasa,capital city of the Democratic Republic of the Congo,182
Q4100,Baden-Baden,"town in Baden-Württemberg, Germany",94
Q335518,Mahabad,"city in West Azarbaijan Province, Iran",45
Q97368681,Mamratipura,capital of the kingdom of mataram,0
Q9027,Swedish,North Germanic language spoken in Sweden and Finland,229
Q165090,Chambéry,"commune in Savoie, France",79
Q6259,Pavia,Italian comune,98
Q6596,Gorizia,Italian comune,83
Q13362,Ferrara,Italian comune,104
Q109079,Kaesong,city in North Korea,70
Q12489692,Karta,the capital city of Mataram,1
Q2999,Würzburg,"city in the region of Franconia, Northern Bavaria, Germany",107
Q926426,Kozan,"District of Adana, Turkey",40
Q39178,Port of Spain,capital of Trinidad and Tobago,124
Q2607082,Ganzak,an ancient town founded in northwestern Iran located south of Lake Urmia,15
Q644872,Terqa,ancient city in Syria,20
Q493019,Andravida,town in Greece,19
Q1026347,Samosata,city,28
Q7511898,Sigal,former city of the Helmund valley in south-west Afghanistan,1
Q249175,Lahij,city in Yemen,25
Q6397066,Shiraz,"city in Fars Province, Iran",112
Q696193,Ecbatana,ancient city that was the capital of the Median empire,44
Q13364,Ravenna,city in northern Italy,119
